# 自定义优先规则词表（PriorityWords）配置说明
# 编码格式：必须使用 UTF-8 编码存储
# 匹配机制：处理时采用【大小写敏感】的精确比对

# 【一、 基础语法格式】
# 格式要求：词条 [Tab分隔符] 拼音
# 如：你好	ni hao
# 1. 每行只能配置一个词条
# 2. 词条与读音之间使用单个Tab 键进行分隔 
# 3. 汉字拼音中的每个字拼音音节之间必须使用单个空格进行分隔，如ni hao
# 4. 支持使用 '#' 作为注释行的开头，允许使用空格排版，注释行不允许tab键，具体语法参考本页注释写法
# 5. 自动忽略空行、纯空格或tab行

# 【二、 重要注意事项】

# 1. 仅支持【纯中文词条】的注音
# 2. 不支持任何包含英文字母、数字或混合符号的词条。输入不会出现报错，但转换结果与预期不一致会出现谬误
# 3. 若本表中存在完全相同的词条，即保留第一条配置作为读音，默认忽略后续的重复词条
# 4. 此优先规则词表非强制要求搭配程序运行，但推荐配合使用。所有词条规则可自定义按需增删修改，预写规则用于辅助增强直接使用或作为自定义修改基础范本。



校改	jiao gai
校正	jiao zheng
校对	jiao dui
校订	jiao ding
校点	jiao dian
校勘	jiao kan
勘校	kan jiao
校准	jiao zhun
参校	can jiao
校注	jiao zhu
校雠	jiao chou
校场	jiao chang
犯而不校	fan er bu jiao
模子	mu zi
模样	mu yang
一模一样	yi mu yi yang
熨帖	yu tie
概率	gai lv
几率	ji lv
汇率	hui lv
臭味相投	xiu wei xiang tou
铜臭	tong xiu
苎烯	ning xi
圩市	xu shi
圩镇	xu zhen
圩场	xu chang
圩日	xu ri
赶圩	gan xu
厦门	xia men
长辈	zhang bei
长子	zhang zi
长女	zhang nv
长兄	zhang xiong
兄长	xiong zhang
首长	shou zhang
长官	zhang guan
长大	zhang da
长高	zhang gao
成长	cheng zhang
年长	nian zhang
道长	dao zhang
组长	zu zhang
族长	zu zhang
校长	xiao zhang
院长	yuan zhang
园长	yuan zhang
家长	jia zhang
队长	dui zhang
班长	ban zhang
部长	bu zhang
厂长	chang zhang
店长	dian zhang
舰长	jian zhang
连长	lian zhang
团长	tuan zhang
营长	ying zhang
军长	jun zhang
旅长	lv zhang
排长	pai zhang
师长	shi zhang
市长	shi zhang
村长	cun zhang
镇长	zhen zhang
县长	xian zhang
省长	sheng zhang
委员长	wei yuan zhang
参谋长	can mou zhang
处长	chu zhang
区长	qu zhang
科长	ke zhang
局长	ju zhang
厅长	ting zhang
反省	fan xing
省悟	xing wu
省亲	xing qin
省视	xing shi
省问	xing wen
深省	shen xing
不省人事	bu xing ren shi
三省吾身	san xing wu shen
省察	xing cha
自省	zi xing
内省	nei xing
一觉	yi jiao
懒觉	lan jiao
睡觉	shui jiao
午觉	wu jiao
睡大觉	shui da jiao
困觉	kun jiao
缺觉	que jiao
好觉	hao jiao
道行	dao heng
大行	da heng
太行山	tai hang shan
景行	jing hang
景行行止	jing hang xing zhi
一行行	yi hang hang
行行出状元	hang hang chu zhuang yuan
行列	hang lie
成行	cheng hang
几行	ji hang
银行	yin hang
分行	fen hang
支行	zhi hang
总行	zong hang
串行	chuan hang
改行	gai hang
行家	hang jia
隔行	ge hang
各行	ge hang
排行	pai hang
行长	hang zhang
行首	hang shou
行尾	hang wei
行距	hang ju
行间距	hang jian ju
行宽	hang kuan
行高	hang gao
商行	shang hang
行业	hang ye
行当	hang dang
行情	hang qing
行话	hang hua
本行	ben hang
行货	hang huo
懂行	dong hang
曾孙	zeng sun
曾祖	zeng zu
曾参	zeng shen
曾国藩	zeng guo fan
曾参杀人	zeng shen sha ren
了解	liao jie
不了	bu liao
明了	ming liao
了无	liao wu
了事	liao shi
了却	liao que
终了	zhong liao
未了	wei liao
了断	liao duan
了然	liao ran
末了	mo liao
私了	si liao
知了	zhi liao
了结	liao jie
公了	gong liao
了账	liao zhang
了了	liao liao
了不起	liao bu qi
了如指掌	liao ru zhi zhang
直截了当	zhi jie liao dang
一了百了	yi liao bai liao
一了百当	yi liao bai dang
小事化了	xiao shi hua liao
一笑了之	yi xiao liao zhi
一死了之	yi si liao zhi
咖喱	ga li
音乐	yin yue
愿乐欲闻	yuan yao yu wen
乐听	yao ting
乐府	yue fu
乐队	yue dui
乐团	yue tuan
声乐	sheng yue
管乐	guan yue
奏乐	zou yue
器乐	qi yue
乐器	yue qi
调查	diao cha
调研	diao yan
调动	diao dong
情调	qing diao
调用	diao yong
低调	di diao
抽调	chou diao
格调	ge diao
调入	diao ru
调换	diao huan
高调	gao diao
调拨	diao bo
基调	ji diao
调出	diao chu
调离	diao li
调集	diao ji
语调	yu diao
调运	diao yun
声调	sheng diao
调任	diao ren
论调	lun diao
音调	yin diao
小调	xiao diao
调子	diao zi
调回	diao hui
调到	diao dao
调阅	diao yue
调转	diao zhuan
调取	diao qu
调兵	diao bing
调遣	diao qian
调档	diao dang
对调	dui diao
老调	lao diao
变调	bian diao
外调	wai diao
征调	zheng diao
调职	diao zhi
调包	diao bao
腔调	qiang diao
调至	diao zhi
曲调	qu diao
步调	bu diao
跑调	pao diao
借调	jie diao
走调	zou diao
调令	diao ling
调派	diao pai
反调	fan diao
调门	diao men
请调	qing diao
韵调	yun diao
函调	han diao
咏叹调	yong tan diao
南水北调	nan shui bei diao
水调歌头	shui diao ge tou
陈词滥调	chen ci lan diao
油腔滑调	you qiang hua diao
调虎离山	diao hu li shan
南腔北调	nan qiang bei diao
拿腔拿调	na qiang na diao
